,brand,name,price,spec_rating,processor,Ram,ROM_type,display_size,resolution_width,resolution_height,OS
0,HP,Victus 15-fb0157AX Gaming Laptop,49900,73,5th Gen AMD Ryzen 5 5600H,8GB,SSD,15.6,1920,1080,Windows 11 OS
1,HP,15s-fq5007TU Laptop,39900,60,12th Gen Intel Core i3 1215U,8GB,SSD,15.6,1920,1080,Windows 11 OS
2,Acer,One 14 Z8-415 Laptop,26990,69.32352941,11th Gen Intel Core i3 1115G4,8GB,SSD,14,1920,1080,Windows 11 OS
4,Apple,MacBook Air 2020 MGND3HN Laptop,69990,69.32352941,Apple M1,8GB,SSD,13.3,2560,1600,Mac OS
5,Acer,Extensa EX214-53 Laptop,39990,62,12th Gen Intel Core i5 1240P,8GB,SSD,14,1920,1080,Windows 11 OS
7,Acer,Nitro V ANV15-51 2023 Gaming Laptop,76990,63,13th Gen Intel Core i5 13420H,16GB,SSD,15.6,1920,1080,Windows 11 OS
19,HP,Victus 15-fa0666TX Gaming Laptop,68990,65,12th Gen Intel Core i5 12450H,16GB,SSD,15.6,1920,1080,Windows 11 OS
22,Apple,MacBook Air 2022 Laptop,104990,69.32352941,Apple M2,8GB,SSD,13.6,2560,1664,Mac OS
23,Acer,Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop,54990,72,12th Gen Intel Core i5 12450H,16GB,SSD,15.6,1920,1080,Windows 11 OS
24,HP,15s-fq2510tu Laptop,49580,64,11th Gen Intel Core i5 1135G7 ,16GB,SSD,15.6,1920,1080,Windows 11 OS
26,HP,15s-eq2132AU Laptop,43990,63,5th Gen AMD Ryzen 5 5500U,16GB,SSD,15.6,1920,1080,Windows 11 OS
27,HP,255 G9 840T7PA Laptop,19850,69.32352941,3rd Gen AMD Athlon 3050U,4GB,SSD,15.6,1366,768,DOS OS
28,Acer,Extensa 15 EX215-33 2023 Laptop,28990,69.32352941,Intel Core i3 N305,8GB,SSD,15.6,1920,1080,Windows 11 OS
29,Acer,Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop,54999,71,12th Gen Intel Core i5 1240P,16GB,SSD,15.6,1920,1080,Windows 11 OS
32,Acer,Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop,179880,78,13th Gen Intel Core i9 13900HX,16GB,SSD,16,1920,1200,Windows 11 OS
33,HP,Victus 15-fb0150AX Gaming Laptop,53790,71,5th Gen AMD Ryzen 5 5600H,16GB,SSD,15.6,1920,1080,Windows 11 OS
34,Acer,Aspire Lite AL15 Laptop,37990,60,5th Gen AMD Ryzen 5 5500U,16GB,SSD,15.6,1920,1080,Windows 11 OS
35,Acer,Nitro 5 AN515-58 NH.QFSSI.001 Gaming Laptop,96990,77,12th Gen Intel Core i7 12650H,16GB,SSD,15.6,2560,1440,Windows 11 OS
36,HP,Pavilion 15-eg3081TU Laptop,71990,66,13th Gen Intel Core i5 1340P,16GB,SSD,15.6,1920,1080,Windows 11 OS
