name,player style,nationality,base price (in lacs),final price (in lacs),franchise,status
Harshit Rana,Bowler,India,,20,KKR,RETAINED
Ekant Sen,Batter,India,20,,,UNSOLD
Wayne Parnell,Allrounder,South Africa,75,,,UNSOLD
Shakib Al Hasan,Allrounder,Bangladesh,150,150,KKR,SOLD
Joe Root,Batter,England,100,100,RR,SOLD
Abdul Basith,Allrounder,India,20,20,RR,SOLD
Prashant Chopra,Allrounder,India,20,,,UNSOLD
Akeal Hosein,Bowler,West Indies,100,100,SRH,SOLD
Raghav Goyal,Bowler,India,20,20,MI,SOLD
Yudhvir Singh Charak,Allrounder,India,20,20,LSG,SOLD
Luke Wood,Bowler,England,100,,,UNSOLD
Dilshan Madushanka,Bowler,Sri Lanka,50,,,UNSOLD
Naveen-ul-Haq,Allrounder,Afghanistan,50,50,LSG,SOLD
Akash Singh,Bowler,India,20,,,UNSOLD
Akash Vashist,Allrounder,India,20,20,RR,SOLD
Suryansh Shedge,Allrounder,India,20,,,UNSOLD
Johnson Charles,WK-Batter,West Indies,50,,,UNSOLD
Rassie van der Dussen,Batter,South Africa,200,,,UNSOLD
Mandeep Singh,Batter,India,50,50,KKR,SOLD
Murugan Ashwin,Bowler,India,20,20,RR,SOLD
KM Asif,Bowler,India,30,30,RR,SOLD
Dinesh Bana,WK-Batter,India,20,,,UNSOLD
Anmolpreet Singh,Batter,India,20,20,SRH,SOLD
Adam Zampa,Bowler,Australia,150,150,RR,SOLD
Kusal Mendis,WK-Batter,Sri Lanka,50,,,UNSOLD
Litton Das,WK-Batter,Bangladesh,50,50,KKR,SOLD
Rilee Rossouw,Batter,South Africa,200,460,DC,SOLD
Shivam Singh,Allrounder,India,20,20,PBKS,SOLD
Mohit Rathee,Allrounder,India,20,20,PBKS,SOLD
Bhagath Varma,Allrounder,India,20,20,CSK,SOLD
Nehal Wadhera,Allrounder,India,20,20,MI,SOLD
Shubhang Hegde,Allrounder,India,20,,,UNSOLD
Sonu Yadav,Allrounder,India,20,20,RCB,SOLD
Deepesh Nainwal,Allrounder,India,20,,,UNSOLD
Trilok Nag,Bowler,India,20,,,UNSOLD
Shubham Kapse,Bowler,India,20,,,UNSOLD
Utkarsh Singh,Allrounder,India,20,,,UNSOLD
Jitender Pal,Allrounder,India,20,,,UNSOLD
Kunal Singh Rathore,WK-Batter,India,20,20,RR,SOLD
Ajay Jadav Mandal,Allrounder,India,20,20,CSK,SOLD
Kulwant Khejroliya,Bowler,India,20,20,KKR,SOLD
Balu Surya,Allrounder,India,20,,,UNSOLD
Sanjay Raghunath,Batter,India,20,,,UNSOLD
Priyank Panchal,Batter,India,20,,,UNSOLD
Varun Aaron,Allrounder,India,50,,,UNSOLD
Tom Curran,Allrounder,England,75,,,UNSOLD
